http://www.ussensor.com/rt%20charts/PT103J2.htm
  T degF     T degC      Resitance Ohm
  135.0  	  275.0  	  265.80    
  136.0  	  276.8  	  259.30    
  137.0  	  278.6  	  253.10    
  138.0  	  280.4  	  247.00    
  139.0  	  282.2  	  241.10    
  140.0  	  284.0  	  235.30    
  141.0  	  285.8  	  229.70    
  142.0  	  287.6  	  224.30    
  143.0  	  289.4  	  219.00    
  144.0  	  291.2  	  213.90    
  145.0  	  293.0  	  208.90    
  146.0  	  294.8  	  204.10    
  147.0  	  296.6  	  199.40    
  148.0  	  298.4  	  194.80    
  149.0  	  300.2  	  190.30    
  150.0  	  302.0  	  186.10  
